E+Version,Climate,System,Parametric,Heating [kBtuh],Cooling [kBtuh],Fan [kBtuh],Heat [kW],Cool [kW],Fan [kW],U,SHGC,Run
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00001Table.csv,30,0,3,8.79,0.00,0.91,0.10,0.10,1
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00002Table.csv,30,0,1,8.79,0.00,0.42,0.10,0.25,2
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00003Table.csv,30,0,2,8.79,0.00,0.47,0.10,0.40,3
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00004Table.csv,30,0,2,8.79,0.00,0.52,0.10,0.55,4
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00005Table.csv,30,0,2,8.79,0.00,0.58,0.10,0.70,5
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00006Table.csv,30,0,2,8.79,0.00,0.64,0.10,0.85,6
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00007Table.csv,32,0,1,9.41,0.00,0.38,0.30,0.10,7
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00008Table.csv,32,0,0,9.41,0.00,0.00,0.30,0.25,8
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00009Table.csv,32,0,2,9.41,0.00,0.48,0.30,0.40,9
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00010Table.csv,32,0,2,9.41,0.00,0.53,0.30,0.55,10
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00011Table.csv,32,0,2,9.41,0.00,0.59,0.30,0.70,11
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00012Table.csv,32,0,2,9.41,0.00,0.65,0.30,0.85,12
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00013Table.csv,34,0,1,9.93,0.00,0.39,0.50,0.10,13
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00014Table.csv,34,0,2,9.93,0.00,0.45,0.50,0.25,14
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00015Table.csv,34,0,2,9.93,0.00,0.49,0.50,0.40,15
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00016Table.csv,34,0,2,9.93,0.00,0.54,0.50,0.55,16
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00017Table.csv,34,0,2,9.93,0.00,0.60,0.50,0.70,17
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00018Table.csv,34,0,2,9.93,0.00,0.66,0.50,0.85,18
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00019Table.csv,35,0,1,10.37,0.00,0.40,0.70,0.10,19
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00020Table.csv,35,0,2,10.37,0.00,0.46,0.70,0.25,20
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00021Table.csv,35,0,2,10.37,0.00,0.51,0.70,0.40,21
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00022Table.csv,35,0,2,10.37,0.00,0.56,0.70,0.55,22
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00023Table.csv,35,0,2,10.37,0.00,0.61,0.70,0.70,23
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00024Table.csv,35,0,2,10.37,0.00,0.67,0.70,0.85,24
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00025Table.csv,37,0,1,10.76,0.00,0.41,0.90,0.10,25
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00026Table.csv,37,0,2,10.76,0.00,0.48,0.90,0.25,26
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00027Table.csv,37,0,2,10.76,0.00,0.53,0.90,0.40,27
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00028Table.csv,37,0,2,10.76,0.00,0.59,0.90,0.55,28
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00029Table.csv,37,0,2,10.76,0.00,0.63,0.90,0.70,29
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00030Table.csv,37,0,2,10.76,0.00,0.68,0.90,0.85,30
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00031Table.csv,37,0,1,10.98,0.00,0.42,1.10,0.10,31
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00032Table.csv,37,0,2,10.98,0.00,0.49,1.10,0.25,32
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00033Table.csv,37,0,2,10.98,0.00,0.54,1.10,0.40,33
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00034Table.csv,37,0,2,10.98,0.00,0.60,1.10,0.55,34
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00035Table.csv,37,0,2,10.98,0.00,0.64,1.10,0.70,35
9.2,2A,Elec,HOU+elecres+slab+IECC_1990_para00036Table.csv,37,0,2,10.98,0.00,0.68,1.10,0.85,36
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00001Table.csv,23.38,0.00,3.12,6.85,0.0,0.91416,0.1,0.1,1
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00002Table.csv,23.38,0.00,1.15,6.85,0.0,0.33695,0.1,0.25,2
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00003Table.csv,23.38,0.00,1.30,6.85,0.0,0.3809,0.1,0.4,3
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00004Table.csv,23.38,0.00,1.47,6.85,0.0,0.43071,0.1,0.55,4
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00005Table.csv,23.38,0.00,1.67,6.85,0.0,0.48931,0.1,0.7,5
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00006Table.csv,23.38,0.00,1.90,6.85,0.0,0.5567,0.1,0.85,6
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00007Table.csv,25.55,0.00,1.01,7.49,0.0,0.29593,0.3,0.1,7
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00008Table.csv,25.55,0.00,0.00,7.49,0.0,0,0.3,0.25,8
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00009Table.csv,25.55,0.00,1.34,7.49,0.0,0.39262,0.3,0.4,9
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00010Table.csv,25.56,0.00,1.51,7.49,0.0,0.44243,0.3,0.55,10
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00011Table.csv,25.56,0.00,1.71,7.49,0.0,0.50103,0.3,0.7,11
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00012Table.csv,25.56,0.00,1.94,7.49,0.0,0.56842,0.3,0.85,12
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00013Table.csv,27.39,0.00,1.04,8.03,0.0,0.30472,0.5,0.1,13
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00014Table.csv,27.39,0.00,1.23,8.03,0.0,0.36039,0.5,0.25,14
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00015Table.csv,27.39,0.00,1.38,8.03,0.0,0.40434,0.5,0.4,15
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00016Table.csv,27.39,0.00,1.55,8.03,0.0,0.45415,0.5,0.55,16
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00017Table.csv,27.39,0.00,1.75,8.03,0.0,0.51275,0.5,0.7,17
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00018Table.csv,27.39,0.00,1.97,8.03,0.0,0.57721,0.5,0.85,18
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00019Table.csv,28.96,0.00,1.08,8.49,0.0,0.31644,0.7,0.1,19
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00020Table.csv,28.96,0.00,1.28,8.49,0.0,0.37504,0.7,0.25,20
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00021Table.csv,28.96,0.00,1.45,8.49,0.0,0.42485,0.7,0.4,21
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00022Table.csv,28.32,0.00,1.58,8.30,0.0,0.46294,0.7,0.55,22
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00023Table.csv,28.96,0.00,1.80,8.49,0.0,0.5274,0.7,0.7,23
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00024Table.csv,28.96,0.00,2.00,8.49,0.0,0.586,0.7,0.85,24
9.2,2A,Elec,HOU+elecres+slab+IECC_2006_para00025Table.csv,30.32,0.00,1.12,8.88,0.0,0.32816,0.9,0.1,25
