Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
1,2A,Elec,HOU+elecres+slab+IECC_1990_para00001Table.csv,25220,14089,3307,7389.39,4127.99,968.94,24971,14406,3368,7316.61,4221.03,986.7,0.1,0.1,-0.987311657,2.249982256,1.84457212
2,2A,Elec,HOU+elecres+slab+IECC_1990_para00002Table.csv,23643,16177,3798,6927.51,4739.98,1112.81,23449,16518,3867,6870.68,4839.71,1133.11,0.1,0.25,-0.820538849,2.107931013,1.816745656
3,2A,Elec,HOU+elecres+slab+IECC_1990_para00003Table.csv,22708,17683,4177,6653.42,5181.25,1223.82,22264,18593,4366,6523.36,5447.7,1279.16,0.1,0.4,-1.955258059,5.146185602,4.524778549
4,2A,Elec,HOU+elecres+slab+IECC_1990_para00004Table.csv,21711,19651,4656,6361.33,5757.74,1364.15,21280,20746,4889,6235.11,6078.66,1432.36,0.1,0.55,-1.985168808,5.57223551,5.004295533
5,2A,Elec,HOU+elecres+slab+IECC_1990_para00005Table.csv,20683,22213,5264,6060.18,6508.37,1542.5,20495,22843,5404,6005.09,6692.96,1583.38,0.1,0.7,-0.908959048,2.836177013,2.659574468
6,2A,Elec,HOU+elecres+slab+IECC_1990_para00006Table.csv,19806,25184,5981,5803.02,7378.9,1752.48,19856,24939,5925,5817.93,7306.99,1735.98,0.1,0.85,0.252448753,-0.972839898,-0.936298278
7,2A,Elec,HOU+elecres+slab+IECC_1990_para00007Table.csv,28223,14076,3394,8269.47,4124.18,994.3,27944,14429,3458,8187.62,4227.82,1013.07,0.3,0.1,-0.988555434,2.50781472,1.885680613
8,2A,Elec,HOU+elecres+slab+IECC_1990_para00008Table.csv,26540,16171,3895,7776.35,4737.99,1141.16,26328,16536,3971,7714.07,4845.05,1163.36,0.3,0.25,-0.798794273,2.257126956,1.951219512
9,2A,Elec,HOU+elecres+slab+IECC_1990_para00009Table.csv,25568,17627,4265,7491.33,5164.66,1249.65,25076,18554,4460,7347.36,5436.4,1306.91,0.3,0.4,-1.92428035,5.258977705,4.572098476
10,2A,Elec,HOU+elecres+slab+IECC_1990_para00010Table.csv,24474,19592,4748,7170.85,5740.5,1391.24,24042,20570,4958,7044.17,6026.96,1452.68,0.3,0.55,-1.765138514,4.991833401,4.422914912
